country,year,inflation_rate,gdp_per_capita,gov_health_exp,oop_spending,pop_65_plus,log_gdp_per_capita
ABW,2000,4.04402131190512,20681.0230269625,,,6.77827661767771,9.937020149126106
ABW,2001,2.88360430316263,20740.1325828172,,,7.01622280050938,9.939874088914374
ABW,2002,3.31524678585423,21307.2482505267,,,7.28289477284044,9.966849518547523
ABW,2003,3.65636507938418,21949.4859960868,,,7.55172787346983,9.99654455931
ABW,2004,2.52912946932762,23700.6319899197,,,7.84229582942202,10.073299185086624
ABW,2005,3.39778677828805,24171.8371325422,,,8.13116841770137,10.092984849206031
ABW,2006,3.60802438784541,24845.65848362,,,8.39636239746311,10.120478555023256
ABW,2007,5.39256784475516,26736.3089444046,,,8.64298508080798,10.193815207760816
ABW,2008,8.95598705177784,28171.9094008501,,,8.90347581144017,10.24611613565277
ABW,2009,-2.13542872046937,25134.7712303589,,,9.18298822020591,10.132047259179275
ABW,2010,2.07814071860786,24093.1401510626,,,9.48922972426296,10.089723942654846
ABW,2011,4.31629742195203,25712.3843015186,,,9.85086303363999,10.154766925261653
ABW,2012,0.627471992893372,25119.6655449838,,,10.2595724400202,10.13144611485631
ABW,2013,-2.37206524252261,25813.5714408438,,,10.6935133949248,10.158694396007784
ABW,2014,0.421440918881214,26129.8390617693,,,11.1519021016228,10.170871469050365
ABW,2015,0.474763597342641,27458.2201537506,,,11.6404071622938,10.220457279565109
ABW,2016,-0.93119598707956,27441.5502144601,,,12.1631984301248,10.219850015366124
ABW,2017,-1.02828178762012,28440.0416881491,,,12.7167657393089,10.255588510818454
ABW,2018,3.6260414135296,30082.1584226798,,,13.3108463619964,10.311720773305565
ABW,2019,4.25746204335427,30645.8906024548,,,13.9419664537338,10.330286487684821
ABW,2020,,22759.8071750722,,,14.5767477805038,10.032795352245516
ABW,2021,,26749.3296093118,,,15.1295115193663,10.194302074091672
ABW,2022,,30975.9989121779,,,15.7002096825073,10.341000237495978
ABW,2023,,35718.7531191634,,,16.3690434830945,10.483459123408975
ABW,2024,,39498.5941293797,,,17.0563223230356,10.584045675630845
AFE,2000,8.6014851485149,706.727260967009,2.07480836325694,22.5280931737043,2.97583878737758,6.562058794852785
AFE,2001,5.84035398311557,625.82781544115,2.03201637394063,23.084527314217,2.97782184613408,6.440671886397607
AFE,2002,8.76375520313543,630.512327648462,1.9127310898034,23.6182959846802,2.9783312444956,6.448117462816893
AFE,2003,7.44970014007366,815.432296267735,2.32584071234405,20.859525102871,2.97732171964396,6.704943989520871
AFE,2004,5.02342068616285,989.015463629244,2.32944021182086,19.8662906814743,2.9752629861389,6.8977205628341665
AFE,2005,8.55803802239778,1126.2973233912,2.27476310472412,19.7507596268667,2.97281751088741,7.027578297694078
AFE,2006,8.89816380214033,1235.26660811771,2.47211994090449,20.1177963356829,2.96926625916167,7.119851317117833
AFE,2007,8.45077480634999,1381.5525968929,2.52499109661674,20.7392542416695,2.96461884883083,7.231686777441631
AFE,2008,12.5666446595156,1447.54575437552,2.45238983549063,20.890523152964,2.95779274525472,7.278315404128911
AFE,2009,8.95421802392949,1408.75346659428,2.74734867247968,18.1385243301363,2.95065063238339,7.251170121697767
AFE,2010,5.53753791645676,1628.90524793139,2.80083539720603,17.4589991794968,2.94824190761886,7.396277162007746
